LATITUDE,LONGITUDE,MINERAI,QUANTITE,PURETE,DESCRIPTION,LOCALISATION
16.678412077745236,-13.141297363417209,Fer,9997,61.07161689294312,"Les gisements de fer sont situés dans plusieurs régions du Sénégal, notamment à Faleme et à Kédougou. Le fer est un élément crucial dans l'industrie sidérurgique pour la production d'acier.",SAINT-LOUIS
13.220662409234885,-12.790837240807814,Zircon,4195,84.62325062618143,Le zircon est un minéral lourd utilisé dans l'industrie des céramiques et est présent dans les plages sénégalaises.,TAMBAOUNDA
14.443896958684677,-12.421489225247118,Or,9540,88.20256164431323,Le Sénégal possède des réserves d'or exploitées principalement dans la région de Kédougou. L'or est un métal précieux largement utilisé dans la bijouterie et comme réserve de valeur.,TAMBAOUNDA
15.085285504143716,-11.210120885864805,Pétrole,4330,92.31005491548558,"Le Sénégal a découvert des réserves de pétrole au large de sa côte, avec des projets d'exploitation en cours. Le pétrole est une source d'énergie essentielle utilisée dans divers secteurs, y compris les transports et la production d'électricité.",
13.881162766349032,-17.267939060472365,Charbon,1517,61.99817545717471,"Le charbon est présent dans le bassin houiller de Kédougou, bien que son exploitation soit limitée. Le charbon est une source d'énergie fossile largement utilisée dans la production d'électricité et la sidérurgie.",
15.702876421750432,-12.974552922162914,Phosphate,8349,93.05920702432702,"Le phosphate est exploité dans la région de Matam, avec des réserves importantes à Taïba. Le phosphate est un ingrédient clé dans la production d'engrais et est essentiel pour l'agriculture.",MATAM
15.410065681927987,-14.856979388297493,Bauxite,5062,55.365523127908695,La bauxite est utilisée dans la production d'aluminium et est exploitée dans la région de Kédougou. La bauxite est le principal minerai d'aluminium et est utilisée dans diverses applications industrielles.,LOUGA
16.240163614898048,-17.39405757518301,Gypse,5933,87.50579372806166,Le gypse est utilisé dans l'industrie de la construction et est exploité dans plusieurs régions du Sénégal. Le gypse est utilisé dans la fabrication de plâtre et de produits de construction.,ATLANTIQUE
15.839698802699466,-15.670434318605169,Fer,7877,66.09419723010792,"Les gisements de fer sont situés dans plusieurs régions du Sénégal, notamment à Faleme et à Kédougou. Le fer est un élément crucial dans l'industrie sidérurgique pour la production d'acier.",LOUGA
15.905624948463217,-14.669576671159028,Phosphate,6824,78.82905403555361,"Le phosphate est exploité dans la région de Matam, avec des réserves importantes à Taïba. Le phosphate est un ingrédient clé dans la production d'engrais et est essentiel pour l'agriculture.",SAINT-LOUIS
12.51882304384147,-16.854764279952576,Sel,2006,68.36971775309995,"Le sel est extrait des marais salants le long de la côte sénégalaise, en particulier à Saint-Louis. Le sel est un minéral essentiel pour l'alimentation humaine et est également utilisé dans l'industrie chimique.",ZIGUINCHOR
15.667077415969377,-17.107627784280652,Pétrole,4391,99.50157844197194,"Le Sénégal a découvert des réserves de pétrole au large de sa côte, avec des projets d'exploitation en cours. Le pétrole est une source d'énergie essentielle utilisée dans divers secteurs, y compris les transports et la production d'électricité.",ATLANTIQUE
16.18905051437867,-15.415006282651273,Sel,6339,69.39733114393508,"Le sel est extrait des marais salants le long de la côte sénégalaise, en particulier à Saint-Louis. Le sel est un minéral essentiel pour l'alimentation humaine et est également utilisé dans l'industrie chimique.",SAINT-LOUIS
13.642205430596967,-17.811073167415977,Diamant,7353,74.62245801014865,"Les diamants sont extraits dans la région de Kédougou, ainsi que dans d'autres régions du pays. Les diamants sont des pierres précieuses utilisées dans la bijouterie et comme investissement financier.",ATLANTIQUE
13.295804334147087,-14.084934619547365,Or,9591,72.61094553877481,Le Sénégal possède des réserves d'or exploitées principalement dans la région de Kédougou. L'or est un métal précieux largement utilisé dans la bijouterie et comme réserve de valeur.,KOLDA
12.7555550525716,-14.206677962336169,Zircon,4128,57.25015246882864,Le zircon est un minéral lourd utilisé dans l'industrie des céramiques et est présent dans les plages sénégalaises.,KOLDA
15.091938619737542,-13.544746171052717,Charbon,1346,90.8706951224139,"Le charbon est présent dans le bassin houiller de Kédougou, bien que son exploitation soit limitée. Le charbon est une source d'énergie fossile largement utilisée dans la production d'électricité et la sidérurgie.",MATAM
14.02598792068209,-16.981177716869706,Sel,4655,93.07920580646957,"Le sel est extrait des marais salants le long de la côte sénégalaise, en particulier à Saint-Louis. Le sel est un minéral essentiel pour l'alimentation humaine et est également utilisé dans l'industrie chimique.",FATICK
16.198125368557676,-13.894629206628302,Fer,5206,54.79451335854113,"Les gisements de fer sont situés dans plusieurs régions du Sénégal, notamment à Faleme et à Kédougou. Le fer est un élément crucial dans l'industrie sidérurgique pour la production d'acier.",SAINT-LOUIS
15.241402003501115,-15.631741013395786,Gypse,7900,87.34730307773994,Le gypse est utilisé dans l'industrie de la construction et est exploité dans plusieurs régions du Sénégal. Le gypse est utilisé dans la fabrication de plâtre et de produits de construction.,LOUGA
